Name,Rarity,Cost,Slot,Quest,Effect,Include,Notes
Landscape Sketchbook - Tarkir: Dragonstorm,Common,1000,,N,Gives access to Tarkir Dragonstorm land arts in the add basic lands menu of the deckbuilder's upper right corner.,Y,
Victor's Key,Common,1000,,Y,Unlocks the back of the church.,Y,
Hylda's Key,Common,1000,,Y,One of three keys to the basement gate.,Y,
Eriette's Key,Common,1000,,Y,One of three keys to the basement gate.,Y,
Agatha's Key,Common,1000,,Y,One of three keys to the basement gate.,Y,
Grenzo's Key,Common,1000,,Y,Unlocks the prison behind him.,Y,
Marchesa's Key,Common,1000,,Y,Unlocks the right gate.,Y,
Gitrog's Key,Common,1000,,Y,Unlocks the treasure room near the basement entrance.,Y,
Prismari Key,Common,1000,,Y,Unlocks the lower gate.,Y,
Lorehold Key,Common,1000,,Y,Unlocks the lower gate.,Y,
Quandrix Key,Common,1000,,Y,Unlocks the lower gate.,Y,
Witherbloom Key,Common,1000,,Y,Unlocks the lower gate.,Y,
Silverquill Key,Common,1000,,Y,Unlocks the lower gate.,Y,
Key to the Castle,Common,1000,,Y,Unlocks the castle gate.,Y,
Red Key,Common,1000,,Y,,Y,
White Key,Common,1000,,Y,,Y,
Blue Key,Common,1000,,Y,,Y,
Green Key,Common,1000,,Y,,Y,
Black Key,Common,1000,,Y,,Y,
Colorless rune,Common,100,Ability2,Y,Teleports you to the mysterious library Slot: Ability2 1 [+Shards],Y,
Eldrazi rune,Common,1000,Ability2,Y,Teleports you to the eldrazi prison Slot: Ability2 1 [+Shards],Y,
White rune,Common,100,Ability2,Y,Teleports you to the capitol of the plains Slot: Ability2 1 [+Shards],Y,Currently Unused
Black rune,Common,100,Ability2,Y,Teleports you to the capitol of the swamps Slot: Ability2 1 [+Shards],Y,Currently Unused
Blue rune,Common,100,Ability2,Y,Teleports you to the capitol of the islands Slot: Ability2 1 [+Shards],Y,Currently Unused
Red rune,Common,100,Ability2,Y,Teleports you to the capitol of the mountains Slot: Ability2 1 [+Shards],Y,Currently Unused
Green rune,Common,100,Ability2,Y,Teleports you to the capitol of the forests Slot: Ability2 1 [+Shards],Y,Currently Unused
Ghost rune,Common,100,Ability2,Y,Teleports you to Spawn Slot: Ability2 1 [+Shards],Y,Currently Unused
Omenport Omenstone,Common,100,Ability2,Y,Teleports you to Omenport Slot: Ability2 1 [+Shards],Y,
Tarnation Omenstone,Common,500,Ability2,Y,Teleports you to Tarnation Slot: Ability2 1 [+Shards],Y,
Three Tree Omenstone,Common,500,Ability2,Y,Teleports you to Three Tree City Slot: Ability2 1 [+Shards],Y,
Wizard Palace Omenstone,Common,500,Ability2,Y,Teleports you to the Wizard Palace Slot: Ability2 1 [+Shards],Y,
Squirrel Farm Omenstone,Common,500,Ability2,Y,Teleports you to the Squirrel Farm Slot: Ability2 1 [+Shards],Y,
Gitrog Bog Omenstone,Common,500,Ability2,Y,Teleports you to Gitrog Bog Slot: Ability2 1 [+Shards],Y,
Aerie Omenstone,Common,500,Ability2,Y,Teleports you to the Aerie Slot: Ability2 1 [+Shards],Y,
Valor's Reach Omenstone,Common,500,Ability2,Y,Teleports you to the Valor's Reach Arena Slot: Ability2 1 [+Shards],Y,
Staff of Speed,Common,1000,Ability1,Y,Greatly increases speed for a while. Slot: Ability1 1 [+Shards],Y,
Staff of Flight,Common,1000,Ability2,Y,Fly over rough terrain for a while. Slot: Ability2 1 [+Shards],Y,
Staff of Healing,Common,1000,Ability2,Y,Recovers your life after a lost duel without visiting a town. Slot: Ability2 1 [+Shards],Y,
Staff of Invisibility,Uncommon,2000,Ability2,N,Hide from enemies for a while. Slot: Ability2 1 [+Shards],Y,
Bronze Blessing of Speed,Rare,5000,Blessing,N,"Move 25% faster. Passive, in a special slot. Slot: Blessing [+MovementSpeed] +25%",Y,
Silver Blessing of Speed,Mythic,25000,Blessing,N,"Move 50% faster. Passive, in a special slot. Slot: Blessing [+MovementSpeed] +50%",Y,
Gold Blessing of Speed,Mythic,50000,Blessing,N,"Move twice as fast. Passive, in a special slot. Slot: Blessing [+MovementSpeed] +100%",Y,
Manasight Stone,Common,1000,Slotless,Y,"Grants Manasight, to see enemy colors. Slot: Slotless Manasight.",Y,
Captive Soul of a Priest,Common,1000,Heart,N,Only makes things harder; no benefits. Uses a special slot. Slot: Heart [+Life] -10,Y,
Captive Soul of a Saint,Uncommon,2000,Heart,N,Makes things much harder; no benefits. Uses a special slot. Slot: Heart [+Life] -20,Y,
Captive Soul of a Knight,Mythic,20000,Heart,N,A stolen soul that gives you 1 life. Uses a special slot. Slot: Heart [+Life] +1,Y,
Captive Soul of a Noble,Mythic,40000,Heart,N,A stolen soul that gives you 2 life. Uses a special slot. Slot: Heart [+Life] +2,Y,
Captive Soul of a Royal,Mythic,80000,Heart,N,A stolen soul that gives you 3 life. Uses a special slot. Slot: Heart [+Life] +3,Y,
Cutthroat Skirt,Rare,5000,Boots,N,"3/2 vampire, level up for deathtouch Slot: Boots [+Life] -4 Battlefield:Nirkana Cutthroat|ROE",Y,
Utopia Anklet,Rare,1000,Boots,N,0/2 taps for any color Slot: Boots [+Life] -4 Battlefield:Utopia Tree|INV,Y,
Amulet of Agony,Rare,1000,Neck,N,"Blood counters when you pay life. 4 blood, 1B: Kill a creature Slot: Neck Battlefield:Font of Agonies|RNA",Y,
Kobold Boots,Common,1000,Boots,N,"Two 0/1 kobolds, one for each boot. Slot: Boots [+Life] -4 Battlefield:Kobolds of Kher Keep|LEG, Crookshank Kobolds|LEG",Y,
Cloudseeder Shoes,Uncommon,1000,Boots,N,"1/1 faerie with flying, U, T, discard to make 1/1 flying faeries that only block fliers Slot: Boots [+Life] +3 Battlefield:Cloudseeder|TSR",Y,
Courier's Boots,Common,1000,Boots,N,"1/1 goblin, sac to give haste Slot: Boots Battlefield:Torch Courier|GRN Gives Opponent: [+Life] -3",Y,
Jolly Boots,Uncommon,1000,Boots,N,2/3 that draws you a card when you give a gift. Slot: Boots Battlefield:Jolly Gerbils|BLB Gives Opponent: [+Life] +5,Y,
Symbiote Bondband,Common,1000,Boots,N,2/2 that gives a +1/+1 counter to any creature that mutates and also 2 life Slot: Boots Battlefield:Essence Symbiote|IKO,Y,
Imposter's Sliverband,Common,1000,Boots,N,A 3/3 artifact sliver with no abilities Slot: Boots Battlefield:Venser's Sliver|TSP,Y,
Maestro Loafers,Common,1000,Boots,N,"3/1 vampire, pay 4(U/R) to exile from grave to draw two, discard one Slot: Boots [+Life] -3 Battlefield:Maestros Initiate|SNC",Y,
Brimstone Boots,Uncommon,5000,Boots,N,"2/2 shaman, level up to ping Slot: Boots Battlefield:Brimstone Mage|ROE",Y,
Peddler's Shoes,Uncommon,1000,Boots,N,"1/1 Human that can pay W, tap, and discard to gain 3 Slot: Boots [+Life] +6 Battlefield:Tonic Peddler|MMQ",Y,
Sky Skiff Turnkey,Common,1000,Boots,N,2/3 flying vehicle with crew 1 Slot: Boots [+Life] +3 Battlefield:Sky Skiff,Y,
Bloodfire Boots,Common,1000,Boots,N,"1/1 dwarf, pay R and sac to deal 1 to each nonflier Slot: Boots Battlefield:Bloodfire Dwarf|APC Gives Opponent: [+Life] -2",Y,
Witch's Shoes,Common,1000,Boots,N,"1/1 Human that can pay B, tap, and discard to give -1/-1 Slot: Boots [+Life] +5 Battlefield:Plague Witch|NEM",Y,
Petalmane Pants,Common,1000,Boots,N,"1/2 spirit, gets ki when spirit/arcane, 1 and remove X ki for X mana Slot: Boots [+Life] +2 Battlefield:Petalmane Baku|BOK",Y,
Enduring Sliverband,Common,1000,Boots,N,"2/2 sliver; slivers gain 2, T: Get a +1/+1 counter at sorcery speed Slot: Boots [+Life] +2 Battlefield:Enduring Sliver|MH1",Y,
Jade Anklet,Uncommon,1000,Boots,N,Artifact that becomes a 4/4 until EOT when you cast a spirit or arcane Slot: Boots [+Life] +4 Battlefield:Jade Idol|CHK,Y,
Coiled Anklet,Common,1000,Boots,N,3/3 Serpent token Slot: Boots Battlefield:komas_coil,Y,
Witch-Maw Anklet,Rare,1000,Boots,N,1/1 that gets two +1/+1 counters for each of your spells. Trample at 10+ power Slot: Boots [+Life] -8 Battlefield:Witch-Maw Nephilim|GPT Starting hand: -1,Y,
Deathspore Shoes,Common,1000,Boots,N,"1/1 that builds spores, remove 3 for a saproling or sac a saproling for -1/-1 Slot: Boots [+Life] +3 Battlefield:Deathspore Thallid|TSP",Y,
Obscura Shoes,Common,1000,Boots,N,"2/2 flying bird, pay 1(B/W) for lifelink Slot: Boots [+Life] -2 Battlefield:Obscura Initiate|SNC",Y,
Angelic Ring,Common,1000,Left,N,Sacrifice to revive a creature that just died. Slot: Left Battlefield:Angelic Renewal,Y,
Steel Boots,Common,1000,Boots,N,0/4 artifact wall with defender Slot: Boots Battlefield:Steel Wall|DDF,Y,
Mamba Bondband,Uncommon,1000,Boots,N,1/1 that gives -2/-2 on mutate Slot: Boots Battlefield:Zagoth Mamba|IKO,Y,
Cabaretti Kicks,Common,1000,Boots,N,"1/2 raccoon, pay 2(R/W) for double strike Slot: Boots Battlefield:Cabaretti Initiate|SNC",Y,
Sheldon's Shoes,Rare,1000,Boots,N,2/2 that dark confidants each player during your upkeep Slot: Boots Battlefield:Keen Duelist|SLD|[828] Starting hand: -1,Y,
Empyrial Greaves,Uncommon,1000,Boots,N,"1/1 Human Cleric, pay 2W and triple sac for Empyrial Archangel Slot: Boots [+Life] +3 Battlefield:Angel's Herald|ALA",Y,
Gixian Graft,Rare,1000,Boots,N,"3/1 phyrexian, when it dies, copy it into grave, unearth 1B Slot: Boots [+Life] -3 Battlefield:Gixian Recycler|YBRO",Y,
Artificial Sliverband,Uncommon,1000,Boots,N,"1/1 artifact, 1, T, discard to make a 1/1 metallic sliver Slot: Boots [+Life] +2 Battlefield:Sliversmith|TSR",Y,
Shoes of the Swarm,Uncommon,1000,Boots,N,"*/1 rat, * is your rat count. Slot: Boots Battlefield:Swarm of Rats|9ED",Y,
Caravaneer's Greaves,Common,1000,Boots,N,"1/1 knight, level up to get bigger Slot: Boots [+Life] +4 Battlefield:Caravan Escort|ROE",Y,
Joraga Boots,Uncommon,1000,Boots,N,"1/1, level up to tap for GG, then let all elves tap for GG Slot: Boots [+Life] -6 Battlefield:Joraga Treespeaker|ROE",Y,
Hellkite Greaves,Uncommon,1000,Boots,N,"1/1 Goblin Shaman, pay 2R and triple sac for Hellkite Overlord Slot: Boots [+Life] +3 Battlefield:Dragon's Herald|ALA",Y,
Yore-Tiller Anklet,Rare,1000,Boots,N,2/2 that reanimates tapped and attacking on attack Slot: Boots [+Life] -8 Battlefield:Yore-Tiller Nephilim|GPT Starting hand: -1,Y,
Silvergill Tailband,Common,1000,Boots,N,1/1 merfolk that taps to give -X/-0 where X is merfolk and faerie count Slot: Boots Battlefield:Silvergill Douser|LRW,Y,
Riveteer Greaves,Common,1000,Boots,N,"2/2 lizard, pay 1(B/G) for deathtouch Slot: Boots Battlefield:Riveteers Initiate|SNC",Y,
Valorous Greaves,Uncommon,1000,Boots,N,"2/2 knight, +1/+1 to your other knights Slot: Boots Battlefield:Inspiring Veteran|ELD",Y,
Battle Cry Boots,Uncommon,1000,Boots,N,"2/2, 1R: +1/+0 and haste to gobs; attack w/6+ power: gob token Slot: Boots Battlefield:Battle Cry Goblin|J25",Y,
Deathspitter Skirt,Common,1000,Boots,N,"3/2 dinosaur, enrage 2 to opp Slot: Boots Battlefield:Frilled Deathspitter|RIX",Y,
Lookout's Harness,Common,1000,Boots,N,1/1 ally that can pay 4W to give your board +1/+1 Slot: Boots [+Life] +5 Battlefield:Cliffside Lookout|BFZ,Y,
Bearhide Breeches,Common,1000,Boots,N,"2/2 bear, 3GG and exile from grave to make two 2/2s Slot: Boots Battlefield:Mother Bear",Y,
Vindicator Greaves,Uncommon,5000,Boots,N,"2/4 knight, 2W twice for 3/6 +1/+1 all, 3 more levels for 4/8 +2/+2 all Slot: Boots [+Life] -3 Battlefield:Kabira Vindicator|ROE",Y,
Timebug Boots,Common,1000,Boots,N,"1/2 artifact, tap to add or remove a time counter from permanent or suspended card Slot: Boots Battlefield:Jhoira's Timebug|TSR",Y,
Glimmerbell Bondband,Common,1000,Boots,N,1/3 flyer that can pay 1U to untap itself Slot: Boots Battlefield:Glimmerbell|IKO,Y,
Firefrightener Shoes,Common,1000,Boots,N,"1/1 goblin that can pay 1R, tap, and discard to give red fear Slot: Boots [+Life] +3 Battlefield:Firefright Mage|PLC",Y,
Despoiler's Boots,Uncommon,1000,Boots,N,5/5 eldrazi Slot: Boots [+Life] -5 Battlefield:Ulamog's Despoiler|BFZ,Y,
Sovereign Greaves,Uncommon,1000,Boots,N,"1/1 artifact Wizard, pay 2U and triple sac for Sphinx Sovereign Slot: Boots [+Life] +3 Battlefield:Sphinx's Herald|ALA",Y,
Bloodsworn Bite,Uncommon,1000,Boots,N,"2/1 vampire with flying, can't block, pay R to give a vampire haste Slot: Boots [+Life] +3 Battlefield:Olivia's Bloodsworn|SOI",Y,
Victual Sliverband,Uncommon,1000,Boots,N,2/2 sliver; slivers gain 2 and sac: gain 4 Slot: Boots [+Life] +2 Battlefield:Victual Sliver|STH,Y,
Gingerboots,Common,1000,Boots,N,"1/1 artifact with haste, pay 1 to give semi-unblockable, pay 2 to eat food for 3 life Slot: Boots [+Life] +3 Battlefield:Gingerbrute|ELD",Y,
Dune-Brood Anklet,Rare,1000,Boots,N,3/3 that gives a 1/1 for each land on attack Slot: Boots [+Life] -8 Battlefield:Dune-Brood Nephilim|GPT,Y,
Brokers Boots,Common,1000,Boots,N,"0/4 cat, pay 4(G/U) to make a 5/5 for a turn Slot: Boots Battlefield:Brokers Initiate|SNC",Y,
Beastbreaker Boots,Uncommon,5000,Boots,N,"2/2 human, level up to get stronger Slot: Boots Battlefield:Beastbreaker of Bala Ged",Y,
Ghoulcaller Greaves,Rare,1000,Boots,N,"3/3 zombie, deals 1 to you a turn Slot: Boots Battlefield:Graf Reaver",Y,
Princely Greaves,Uncommon,1000,Boots,N,"1/1 Human Wizard, pay 2B and triple sac for Prince of Thralls Slot: Boots [+Life] +3 Battlefield:Demon's Herald|ALA",Y,
Packsong Pants,Uncommon,1000,Boots,N,"1/1 wolf, +1/+1 counter/turn if you have another wolf/werewolf, gain life when it dies Slot: Boots Battlefield:Packsong Pup|VOW",Y,
Acidic Sliverband,Uncommon,1000,Boots,N,2/2 sliver; slivers gain 2 and sac: shock for 2 Slot: Boots Battlefield:Acidic Sliver|STH,Y,
Anklet of the End,Uncommon,1000,Boots,N,2/2 that gives other colorless +1/+1. Colorless spells w/ 7+ MV are 1 cheaper Slot: Boots [+Life] -4 Battlefield:It That Heralds the End|MH3,Y,
Scarecrow Socks,Common,1000,Boots,N,"2/1 reach, filters mana once a turn Slot: Boots [+Life] +2 Battlefield:Scarecrow Guide",Y,
Spectral Sliverband,Uncommon,1000,Boots,N,2/2 sliver; slivers gain 2: +1/+1 until EOT Slot: Boots [+Life] +2 Battlefield:Spectral Sliver|LGN,Y,
Sabertooth Bondband,Common,1000,Boots,N,3/1 cat Slot: Boots [+Life] +2 Battlefield:Savai Sabertooth|IKO,Y,
Bandar Boots,Common,1000,Boots,N,"1/1 Cat Monkey, pay 2G to make indestructible Slot: Boots [+Life] +3 Battlefield:Wily Bandar|KLD",Y,
Trickster's Shoes,Common,1000,Boots,N,"1/1 Human that can pay U, tap, and discard to tap or untap Slot: Boots [+Life] +4 Battlefield:Trickster Mage|NEM",Y,
Godsire Greaves,Uncommon,1000,Boots,N,"1/1 Elf Shaman, pay 2G and triple sac for Godsire Slot: Boots [+Life] +3 Battlefield:Behemoth's Herald|ALA",Y,
Draped Dragonhide,Uncommon,1000,Boots,N,2/3 dragon with flying and limited to 4 or die firebreathing Slot: Boots [+Life] -2 Battlefield:Dragon Whelp|LEA,Y,
Cryptologist's Fins,Uncommon,5000,Boots,N,0/1 merfolk wizard. 1U: looter; twice more: T: draw. Slot: Boots Battlefield:Enclave Cryptologist|ROE,Y,
Blistering Breeches,Common,5000,Boots,N,5/2 wall. Slot: Boots Battlefield:Blistering Barrier,Y,
Greaves of Glare,Common,5000,Boots,N,"0/5 wall, can block any # of creatures. Slot: Boots Battlefield:Wall of Glare",Y,
Cragflame,Common,1000,Right,N,"Equip 2, +1/+1 vigilance, trample, and haste. Slot: Right [+Life] -6 Battlefield:cragflame",Y,
Spore Skirt,Rare,3000,Boots,N,"0/1 flying wall, taps down for 4 turns on block. Slot: Boots Battlefield:Mindbender Spores",Y,
Soul Shoes,Uncommon,3000,Boots,N,"0/4 wall, reflects damage dealt to it to opponent. Slot: Boots Battlefield:Wall of Souls",Y,
Barrier Breeches,Uncommon,6000,Boots,N,0/6 flying wall. Slot: Boots Battlefield:Hover Barrier,Y,
Glint-Eye Anklet,Rare,1000,Boots,N,2/2 that draws equal to damage on hit. 1 and discard for +1/+1 until EOT. Slot: Boots Battlefield:Glint-Eye Nephilim|GPT Starting hand: -2,Y,
Ink-Treader Anklet,Rare,1000,Boots,N,3/3 that radiates all single target instants and sorceries Slot: Boots [+Life] -4 Battlefield:Ink-Treader Nephilim|GPT,Y,
Fblthp's Lost Socks,Common,1000,Boots,N,2/5 hexproof Slot: Boots [+Life] -10 Battlefield:Humongulus,Y,
Raptor Bondband,Common,1000,Boots,N,4/2 dinosaur Slot: Boots [+Life] -2 Battlefield:Frenzied Raptor|IKO,Y,
Plated Sliverband,Common,1000,Boots,N,1/1 sliver; all slivers get +0/+1 Slot: Boots [+Life] +2 Battlefield:Plated Sliver|LGN,Y,
Greenseeker's Shoes,Common,1000,Boots,N,"1/1 elf that can pay G, tap, and discard to tutor a basic Slot: Boots [+Life] +4 Battlefield:Greenseeker|TSR",Y,
Angelic Greaves,Common,1000,Boots,N,0/4 wall with flying Slot: Boots [+Life] +4 Battlefield:Angelic Wall|PO2,Y,
Abzan Gauntlet,Uncommon,1000,Left,N,1WBG for an X/X where X is biggest toughness Slot: Left [+Life] +3 Battlefield:Abzan Monument|TDM,Y,
Basilica Skullbomb,Common,1000,Left,N,Pay 1 for a card or 2W for +2/+2 and flying and a card Slot: Left [+Life] +3 Battlefield:Basilica Skullbomb|ONE,Y,
Fblthp's Lost Bauble,Rare,1000,Left,N,Pay 2 and sac for a tapped basic to play.  Slot: Left [+Life] -3 Battlefield:Wayfarer's Bauble|PF26,Y,
Tome of Fire,Common,5000,Left,N,Shock for 2 Slot: Left Battlefield:Seal of Fire|NEM,Y,
Golden Egg,Common,1000,Left,N,Filter mana or pay 2 for 3 life Slot: Left [+Life] +3 Battlefield:Golden Egg|ELD,Y,
Urza's Bauble,Uncommon,1000,Left,N,"Peek at hand, slow draw for free Slot: Left [+Life] +3 Battlefield:Urza's Bauble|ICE",Y,
