name,tier,life,boss,sprite,w,h,scale,cur,in_scope,keep_reason,cls,prop_scale,prop,reason,eyes
Scorpion,Common,11,False,sprites/enemy/beast/arachnid/scorpion.atlas,20,20,0.9,18.0,True,,Critter,0.6,12.0,beast/arachnid folder,False
Snail,Common,13,False,sprites/enemy/beast/insect/snail.atlas,32,32,0.8,25.6,True,,Critter,0.38,12.2,"beast/insect folder, moves 52%",True
Squirrel,Rare,15,False,sprites/enemy/beast/smallmammals/squirrel.atlas,32,32,0.7,22.4,True,,Critter,0.38,12.2,"beast/smallmammals folder, moves 46%",True
Tiyanak,Common,14,False,sprites/enemy/basic/monster/tiyanak.atlas,14,14,1.0,14.0,True,,Critter,0.86,12.0,art 14px vs 32px person (x0.44),True
Walking Brain,Rare,16,False,sprites/enemy/aberration/walkingbrain.atlas,32,20,0.75,15.0,True,,Critter,0.6,12.0,"scale x0.75 was a choice - nearest step to 15.0px, tagged small",False
Wasp,Uncommon,14,False,sprites/enemy/beast/insect/wasp.atlas,27,32,0.75,24.0,True,,Critter,0.38,12.2,"beast/insect folder, moves 49%",True
Wild Rat,Common,13,False,sprites/enemy/beast/smallmammals/wildrat.atlas,32,22,0.8,17.6,True,,Critter,0.55,12.1,beast/smallmammals folder,False
Zinnia,Uncommon,30,False,sprites/enemy/beast/bird/parrot.atlas,22,22,1.0,22.0,True,,Critter,0.55,12.1,"beast/bird folder, moves 45%",True
Eldrazi Floater,Rare,40,False,sprites/enemy/aberration/eldrazi/eldrazi_2.atlas,64,64,0.7,44.8,True,,Huge,0.75,48.0,scale x0.7 was a choice - nearest step to 44.8px,False
Elesh Norn,Uncommon,80,True,sprites/enemy/aberration/phyrexian/eleshnorn.atlas,64,80,0.5,40.0,True,,Huge,0.6,48.0,"scale x0.5 was a choice - nearest step to 40.0px, tagged humanoid, boss sized on purpose - nearest step to 40px",True
Jin-Gitaxias,Uncommon,80,True,sprites/enemy/aberration/phyrexian/jin-gitaxias.atlas,64,64,0.65,41.6,True,,Huge,0.75,48.0,"scale x0.65 was a choice - nearest step to 41.6px, tagged humanoid, boss sized on purpose - nearest step to 42px",True
Myr Superion,Uncommon,25,True,sprites/enemy/construct/myr.atlas,16,16,2.5,40.0,True,,Huge,3.0,48.0,"scale x2.5 was a choice - nearest step to 40.0px, boss sized on purpose - nearest step to 40px",True
Nissa,Uncommon,80,True,sprites/enemy/humanoid/elf/nissa.atlas,64,80,0.5,40.0,True,,Huge,0.6,48.0,"humanoid/elf folder, boss sized on purpose - nearest step to 40px",True
Ooze Boss,Rare,35,True,sprites/enemy/ooze/giant_slime.atlas,64,40,1.0,40.0,True,,Huge,1.2,48.0,"ooze folder, named giant on 40px art, +1 step for boss",True
The Pride of Hull Clade,Uncommon,20,False,sprites/enemy/beast/reptile/turtle.atlas,26,14,3.0,42.0,True,,Huge,3.43,48.0,"beast/reptile folder, but scaled x3 on purpose - nearest step to 42px",True
Ulasht,Rare,30,False,sprites/enemy/monstrosity/sandwurm.atlas,32,20,2.0,40.0,True,,Huge,2.4,48.0,scale x2 was a choice - nearest step to 40.0px,False
Urabrask,Uncommon,80,True,sprites/enemy/aberration/phyrexian/urabrask.atlas,80,64,0.65,41.6,True,,Huge,0.75,48.0,"scale x0.65 was a choice - nearest step to 41.6px, tagged humanoid, boss sized on purpose - nearest step to 42px",True
Vorinclex,Uncommon,80,True,sprites/enemy/aberration/phyrexian/vorinclex.atlas,80,64,0.65,41.6,True,,Huge,0.75,48.0,"scale x0.65 was a choice - nearest step to 41.6px, tagged humanoid, boss sized on purpose - nearest step to 42px",True
Xolatoyac,Rare,30,False,sprites/enemy/monstrosity/sandwurm.atlas,32,20,2.0,40.0,True,,Huge,2.4,48.0,scale x2 was a choice - nearest step to 40.0px,False
Adult Green Dragon,Rare,23,False,sprites/enemy/dragon/adultgreendragon.atlas,16,16,1.6,25.6,True,,Large,2.0,32.0,dragon folder,False
Aeve,Rare,27,False,sprites/enemy/ooze/giant_slime.atlas,64,40,1.0,40.0,True,,Large,0.8,32.0,"ooze folder, named giant on 40px art",False
Arcades Sabboth,Rare,40,True,sprites/enemy/dragon/ancientsilverdragon.atlas,16,16,1.8,28.8,True,,Large,2.0,32.0,"dragon folder, boss sized on purpose - nearest step to 29px",True
Betor,Rare,20,False,sprites/enemy/dragon/dragonlarge.atlas,50,36,1.0,36.0,True,,Large,0.89,32.0,dragon folder,False
Chromium (Boss),Rare,40,True,sprites/enemy/dragon/ancientsilverdragon.atlas,16,16,1.8,28.8,True,,Large,2.0,32.0,"dragon folder, boss sized on purpose - nearest step to 29px",True
Cloud Giant,Rare,25,False,sprites/enemy/giant/godlytitan.atlas,32,32,0.8,25.6,True,,Large,1.0,32.0,giant folder,False
Crimson Minotaur Lord,Mythic,55,False,sprites/enemy/mythic/crimson_minotaur_lord.atlas,72,78,0.4,31.200000000000003,True,,Large,0.41,32.0,"scale x0.4 was a choice - nearest step to 31.2px, life 55",True
Dracur of Shandalar,Uncommon,24,False,sprites/enemy/dragon/dragonlarge.atlas,50,36,1.3,46.800000000000004,True,,Large,0.89,32.0,dragon folder,False
Drakuseth,Mythic,54,False,sprites/enemy/dragon/dragonlarge.atlas,50,36,1.0,36.0,True,,Large,0.89,32.0,"dragon folder, life 54",True
Ember Urchin,Mythic,53,False,sprites/enemy/mythic/ember_urchin.atlas,124,61,0.5,30.5,True,,Large,0.52,31.7,"scale x0.5 was a choice - nearest step to 30.5px, life 53",True
Experiment Kraj,Rare,30,False,sprites/enemy/ooze/giant_slime.atlas,64,40,1.0,40.0,True,,Large,0.8,32.0,"ooze folder, named giant on 40px art",False
Faerie Dragon,Rare,17,False,sprites/enemy/fey/faerie_dragon.atlas,50,41,1.0,41.0,True,,Large,0.78,32.0,art 41px vs 16px person (x2.56),True
Felix,Rare,30,False,sprites/enemy/ooze/giant_slime.atlas,64,40,1.0,40.0,True,,Large,0.8,32.0,"ooze folder, named giant on 40px art",False
Fire Giant,Rare,33,False,sprites/enemy/giant/firegiant.atlas,16,16,1.4,22.4,True,,Large,2.0,32.0,"giant folder, moves 43%",True
Forest Giant,Mythic,46,False,sprites/enemy/giant/forestgiant.atlas,16,16,1.4,22.4,True,,Large,2.0,32.0,"giant folder, life 46, moves 43%",True
Fumulus,Common,18,False,sprites/enemy/beast/insect/giantfly.atlas,23,18,2.0,36.0,True,,Large,1.78,32.0,"beast/insect folder, but scaled x2 on purpose - nearest step to 36px",True
Giant Cyclops,Rare,30,False,sprites/enemy/giant/cyclops_large.atlas,64,64,0.7,44.8,True,,Large,0.5,32.0,giant folder,False
Goblin King Phil,Uncommon,30,True,sprites/enemy/humanoid/goblin/goblinking.atlas,53,43,1.0,43.0,True,,Large,0.74,31.8,"humanoid/goblin folder, named king, +1 step for boss",True
Golos,Mythic,50,False,sprites/enemy/construct/arcane_golem.atlas,96,96,0.3,28.799999999999997,True,,Large,0.33,31.7,"scale x0.3 was a choice - nearest step to 28.8px, life 50",True
Gorilla Chief,Rare,30,True,sprites/enemy/beast/largemammals/elephant.atlas,28,18,1.0,18.0,True,,Large,1.78,32.0,"beast/largemammals folder, +1 step for boss, moves 78%",True
Grave Titan,Rare,26,False,sprites/enemy/giant/gravetitan.atlas,16,16,1.3,20.8,True,,Large,2.0,32.0,"giant folder, moves 54%",True
Grothama,Uncommon,22,False,sprites/enemy/monstrosity/sandwurm2.atlas,32,18,2.0,36.0,True,,Large,1.78,32.0,scale x2 was a choice - nearest step to 36.0px,False
Gyome,Rare,20,False,sprites/enemy/giant/swamptroll.atlas,40,35,0.5,17.5,True,,Large,0.91,31.9,"giant folder, moves 82%",True
Hidden Bush,Uncommon,20,False,sprites/enemy/plant/hiddenbush.atlas,46,48,0.75,36.0,True,,Large,0.67,32.2,scale x0.75 was a choice - nearest step to 36.0px,False
Horde of Notions,Rare,30,False,sprites/enemy/monstrosity/cerodon.atlas,49,23,1.5,34.5,True,,Large,1.39,32.0,scale x1.5 was a choice - nearest step to 34.5px,False
Kapre of the Old Balete,Mythic,52,False,sprites/enemy/mythic/kapre_old_balete.atlas,20,29,1.0,29.0,True,,Large,1.1,31.9,"art 29px vs 16px person (x1.81), life 52",True
Karrthus,Rare,40,False,sprites/enemy/dragon/dragonlarge.atlas,50,36,1.0,36.0,True,,Large,0.89,32.0,dragon folder,False
King Rohgahh,Common,25,True,sprites/enemy/humanoid/kobold/koboldworker.atlas,22,20,1.5,30.0,True,,Large,1.6,32.0,"humanoid/kobold folder, named king, boss sized on purpose - nearest step to 30px",True
Kiska-Ra of Shandalar,Uncommon,24,False,sprites/enemy/dragon/dragonlarge.atlas,50,36,1.3,46.800000000000004,True,,Large,0.89,32.0,dragon folder,False
Mandurang of Shandalar,Uncommon,24,False,sprites/enemy/dragon/dragonlarge.atlas,50,36,1.3,46.800000000000004,True,,Large,0.89,32.0,dragon folder,False
Maw of the Abyss,Mythic,55,False,sprites/enemy/mythic/maw_of_the_abyss.atlas,144,103,0.3,30.9,True,,Large,0.31,31.9,"scale x0.3 was a choice - nearest step to 30.9px, life 55",True
Morophon,Rare,40,False,sprites/enemy/ooze/giant_slime.atlas,64,40,1.0,40.0,True,,Large,0.8,32.0,"ooze folder, named giant on 40px art",False
Neriv,Rare,20,False,sprites/enemy/dragon/dragonlarge.atlas,50,36,1.0,36.0,True,,Large,0.89,32.0,dragon folder,False
Nicol Bolas,Uncommon,40,False,sprites/enemy/dragon/dragonlarge.atlas,50,36,1.0,36.0,True,,Large,0.89,32.0,dragon folder,False
Nicol Bolas (Boss),Rare,40,True,sprites/enemy/dragon/firedragon.atlas,16,16,1.8,28.8,True,,Large,2.0,32.0,"dragon folder, boss sized on purpose - nearest step to 29px",True
Niv-Mizzet,Uncommon,30,False,sprites/enemy/dragon/dragonlarge.atlas,50,36,1.0,36.0,True,,Large,0.89,32.0,dragon folder,False
Onyx Minotaur Lord,Mythic,54,False,sprites/enemy/mythic/onyx_minotaur_lord.atlas,72,78,0.4,31.200000000000003,True,,Large,0.41,32.0,"scale x0.4 was a choice - nearest step to 31.2px, life 54",True
Oros,Rare,40,False,sprites/enemy/dragon/dragonlarge.atlas,50,36,1.0,36.0,True,,Large,0.89,32.0,dragon folder,False
Palladia-Mors (Boss),Uncommon,40,True,sprites/enemy/dragon/adultgreendragon.atlas,16,16,1.8,28.8,True,,Large,2.0,32.0,"dragon folder, boss sized on purpose - nearest step to 29px",True
Phylath,Uncommon,30,False,sprites/enemy/elemental/earthelemental.atlas,23,18,2.0,36.0,True,,Large,1.78,32.0,scale x2 was a choice - nearest step to 36.0px,False
Prismat of Shandalar,Rare,24,False,sprites/enemy/dragon/dragonlarge.atlas,50,36,1.3,46.800000000000004,True,,Large,0.89,32.0,dragon folder,False
Prossh,Rare,30,False,sprites/enemy/dragon/dragonlarge.atlas,50,36,1.0,36.0,True,,Large,0.89,32.0,dragon folder,False
Scion of the Ur-Dragon,Rare,50,False,sprites/enemy/dragon/dragonlarge.atlas,50,36,1.0,36.0,True,,Large,0.89,32.0,"dragon folder, life 50",True
Silvos,Uncommon,22,False,sprites/enemy/elemental/earthelemental.atlas,23,18,2.0,36.0,True,,Large,1.78,32.0,scale x2 was a choice - nearest step to 36.0px,False
Slobad,Rare,40,True,sprites/enemy/humanoid/goblin/slobad.atlas,100,50,0.75,37.5,True,,Large,0.64,32.0,"humanoid/goblin folder, boss sized on purpose - nearest step to 38px",True
Sun Giant,Rare,28,False,sprites/enemy/giant/ascendedtitan.atlas,16,16,1.5,24.0,True,,Large,2.0,32.0,giant folder,False
Swamp Troll,Rare,35,False,sprites/enemy/giant/swamptroll.atlas,40,35,0.65,22.75,True,,Large,0.91,31.9,"giant folder, moves 40%",True
The Locust God,Rare,40,False,sprites/enemy/beast/insect/giantfly.atlas,23,18,2.0,36.0,True,,Large,1.78,32.0,"beast/insect folder, but scaled x2 on purpose - nearest step to 36px",True
The Scorpion God,Uncommon,40,False,sprites/enemy/beast/arachnid/scorpion.atlas,20,20,2.0,40.0,True,,Large,1.6,32.0,"beast/arachnid folder, but scaled x2 on purpose - nearest step to 40px",True
Thromok,Uncommon,20,False,sprites/enemy/monstrosity/sandwurm.atlas,32,20,2.0,40.0,True,,Large,1.6,32.0,scale x2 was a choice - nearest step to 40.0px,False
Umori,Uncommon,20,False,sprites/enemy/ooze/giant_slime.atlas,64,40,0.7,28.0,True,,Large,0.8,32.0,"ooze folder, named giant on 40px art",False
Vaevictis Asmadi,Uncommon,40,True,sprites/enemy/dragon/adultgreendragon.atlas,16,16,1.8,28.8,True,,Large,2.0,32.0,"dragon folder, boss sized on purpose - nearest step to 29px",True
Varolz,Rare,20,False,sprites/enemy/giant/swamptroll.atlas,40,35,0.5,17.5,True,,Large,0.91,31.9,"giant folder, moves 82%",True
Volcano Dragon,Mythic,47,False,sprites/enemy/dragon/dragonlarge.atlas,50,36,0.75,27.0,True,,Large,0.89,32.0,"dragon folder, life 47",True
Wandering Giant,Uncommon,15,False,sprites/enemy/giant/wanderinggiant.atlas,16,18,1.0,18.0,True,,Large,1.78,32.0,"giant folder, moves 78%",True
Werebear,Rare,26,False,sprites/enemy/beast/bear/bear_large.atlas,64,64,0.6,38.4,True,,Large,0.5,32.0,"beast/bear folder, named large",False
Whim of Shandalar,Uncommon,24,False,sprites/enemy/dragon/dragonlarge.atlas,50,36,1.3,46.800000000000004,True,,Large,0.89,32.0,dragon folder,False
Wildwood Minotaur,Mythic,49,False,sprites/enemy/mythic/wildwood_minotaur.atlas,72,78,0.4,31.200000000000003,True,,Large,0.41,32.0,"scale x0.4 was a choice - nearest step to 31.2px, life 49",True
Aegis Paladin,Mythic,57,False,sprites/enemy/mythic/aegis_paladin.atlas,44,21,1.0,21.0,True,,Medium,1.14,23.9,"art 21px vs 16px person (x1.31), life 57",True
Agatha,Rare,40,False,sprites/enemy/humanoid/human/warlock/witchlarge.atlas,25,25,1.0,25.0,True,,Medium,0.96,24.0,"humanoid/human/warlock folder, named large",False
Amonkhet Minotaur Warrior,Common,16,False,sprites/enemy/humanoid/minotaur/amonkhet_minotaur.atlas,16,15,1.0,15.0,True,,Medium,1.6,24.0,"humanoid/minotaur folder, named minotaur, moves 60%",True
Ancient Silver Dragon,Rare,18,True,sprites/enemy/dragon/ancientsilverdragon.atlas,16,16,1.6,25.6,True,,Medium,1.5,24.0,"dragon folder, boss sized on purpose - nearest step to 26px",True
Ancient Vampire,Mythic,25,False,sprites/enemy/undead/vampire_4.atlas,20,22,0.85,18.7,True,,Medium,1.09,24.0,"undead folder, named ancient",False
Arna,Uncommon,20,False,sprites/enemy/beast/bird/falcon.atlas,14,16,1.5,24.0,True,,Medium,1.5,24.0,"beast/bird folder, but scaled x1.5 on purpose - nearest step to 24px",True
Aswang Sorcerer,Mythic,48,False,sprites/enemy/mythic/aswang_sorcerer.atlas,42,40,0.5,20.0,True,,Medium,0.6,24.0,"scale x0.5 was a choice - nearest step to 20.0px, life 48",True
Avacyn,Mythic,53,False,sprites/enemy/celestial/angelwarrior.atlas,16,16,1.5,24.0,True,,Medium,1.5,24.0,"scale x1.5 was a choice - nearest step to 24.0px, life 53",True
Brain Mole,Rare,20,False,sprites/enemy/monstrosity/brainmole.atlas,32,32,0.7,22.4,True,,Medium,0.75,24.0,scale x0.7 was a choice - nearest step to 22.4px,False
Bristleback Boar,Common,12,False,sprites/enemy/basic/animal/bristleback_boar.atlas,12,17,1.0,17.0,True,,Medium,1.41,24.0,"basic/animal folder, a boar, moves 41%",True
Bristly Bill,Rare,18,False,sprites/enemy/plant/hiddenbush.atlas,46,48,0.5,24.0,True,,Medium,0.5,24.0,scale x0.5 was a choice - nearest step to 24.0px,False
Bruna,Rare,30,False,sprites/enemy/celestial/angel_2.atlas,16,16,1.5,24.0,True,,Medium,1.5,24.0,scale x1.5 was a choice - nearest step to 24.0px,False
Bruse Tarl,Uncommon,20,False,sprites/enemy/beast/barn/bull.atlas,32,27,0.75,20.25,True,,Medium,0.89,24.0,beast/barn folder,False
Bull,Common,12,False,sprites/enemy/beast/barn/bull.atlas,32,27,0.65,17.55,True,,Medium,0.89,24.0,beast/barn folder,False
Calamity,Rare,32,False,sprites/enemy/beast/horse/horseblack.atlas,47,36,0.7,25.2,True,,Medium,0.67,24.1,beast/horse folder,False
Cerodon,Common,32,False,sprites/enemy/monstrosity/cerodon.atlas,49,23,1.0,23.0,True,,Medium,1.04,23.9,art 23px vs 16px person (x1.44),True
Chandler,Common,20,True,sprites/enemy/humanoid/human/bandit/bandit.atlas,21,21,1.0,21.0,True,,Medium,1.14,23.9,"humanoid/human/bandit folder, +1 step for boss",True
Cloud Guardian,Rare,25,False,sprites/enemy/celestial/peerlesssolar.atlas,32,32,0.8,25.6,True,,Medium,0.75,24.0,scale x0.8 was a choice - nearest step to 25.6px,False
Conjurer,Rare,35,True,sprites/enemy/humanoid/conjurer.atlas,32,32,0.8,25.6,True,,Medium,0.75,24.0,"humanoid folder, boss sized on purpose - nearest step to 26px",True
Dinosaur,Common,19,False,sprites/enemy/beast/dinosaur/ancient_2.atlas,16,16,1.5,24.0,True,,Medium,1.5,24.0,scale x1.5 was a choice - nearest step to 24.0px,False
Drake,Uncommon,20,False,sprites/enemy/dragon/drake.atlas,30,34,0.9,30.6,True,,Medium,0.71,24.1,"dragon folder, a drake",False
Duskana,Rare,20,False,sprites/enemy/beast/polar/polarbear.atlas,25,19,1.0,19.0,True,,Medium,1.26,23.9,beast/polar folder,False
Dwarf Warlord,Rare,32,False,sprites/enemy/humanoid/dwarf/dwarflarge.atlas,28,21,0.75,15.75,True,,Medium,1.14,23.9,"humanoid/dwarf folder, named large, moves 52%",True
Elephant,Rare,20,False,sprites/enemy/beast/largemammals/elephant.atlas,28,18,1.5,27.0,True,,Medium,1.33,23.9,beast/largemammals folder,False
Elven Archmage of the Mists,Mythic,48,False,sprites/enemy/mythic/elven_archmage.atlas,44,49,0.45,22.05,True,,Medium,0.49,24.0,"scale x0.45 was a choice - nearest step to 22.1px, life 48",True
Emiel,Uncommon,40,False,sprites/enemy/beast/horse/horsewhite.atlas,47,36,1.0,36.0,True,,Medium,0.67,24.1,beast/horse folder,False
Excava,Rare,20,False,sprites/enemy/beast/horse/horseblack.atlas,47,36,1.0,36.0,True,,Medium,0.67,24.1,beast/horse folder,False
Fallen Angel,Uncommon,20,False,sprites/enemy/celestial/fallen_angel.atlas,32,21,1.0,21.0,True,,Medium,1.14,23.9,art 21px vs 16px person (x1.31),True
Firja,Rare,40,False,sprites/enemy/celestial/fallen_angel.atlas,32,21,1.0,21.0,True,,Medium,1.14,23.9,art 21px vs 16px person (x1.31),True
Ghoul Gravecaller,Rare,20,False,sprites/enemy/undead/ghoullarge.atlas,32,24,0.75,18.0,True,,Medium,1.0,24.0,"undead folder, named large",False
Goblin King,Uncommon,18,False,sprites/enemy/humanoid/goblin/goblinking.atlas,53,43,0.5,21.5,True,,Medium,0.56,24.1,"humanoid/goblin folder, named king",False
Goblin Warlord,Mythic,51,False,sprites/enemy/mythic/goblin_warlord.atlas,41,26,1.0,26.0,True,,Medium,0.92,23.9,"art 26px vs 16px person (x1.62), life 51",True
Gorex,Uncommon,18,False,sprites/enemy/beast/reptile/turtle.atlas,26,14,2.0,28.0,True,,Medium,1.71,23.9,"beast/reptile folder, but scaled x2 on purpose - nearest step to 28px",True
Gorilla,Rare,20,False,sprites/enemy/beast/ape/gorilla.atlas,64,64,0.55,35.2,True,,Medium,0.38,24.3,beast/ape folder,False
Gorm and Virtus,Uncommon,20,False,sprites/enemy/fiend/juggler_2.atlas,16,16,1.5,24.0,True,,Medium,1.5,24.0,scale x1.5 was a choice - nearest step to 24.0px,False
Gornog,Rare,19,False,sprites/enemy/humanoid/minotaur/minotaurlarge.atlas,54,43,0.5,21.5,True,,Medium,0.56,24.1,"humanoid/minotaur folder, named large",False
Grakk,Uncommon,36,False,sprites/enemy/humanoid/orc/orc_brute.atlas,32,37,0.5,18.5,True,,Medium,0.65,24.1,"humanoid/orc folder, named brute",False
Grandmother Sengir,Common,13,False,sprites/enemy/humanoid/human/warlock/witchlarge.atlas,25,25,0.8,20.0,True,,Medium,0.96,24.0,"humanoid/human/warlock folder, named large",False
Greater Sandwurm,Uncommon,13,False,sprites/enemy/monstrosity/sandwurm2.atlas,32,18,1.0,18.0,True,,Medium,1.33,23.9,"art 18px vs 16px person (x1.12), named large",True
Grimgrin,Rare,20,False,sprites/enemy/undead/hulkingbrute.atlas,16,16,1.5,24.0,True,,Medium,1.5,24.0,"undead folder, named king",False
Grumgully,Uncommon,20,False,sprites/enemy/humanoid/goblin/goblinking.atlas,53,43,0.5,21.5,True,,Medium,0.56,24.1,"humanoid/goblin folder, named king",False
Hamza,Uncommon,20,False,sprites/enemy/beast/largemammals/elephant.atlas,28,18,1.0,18.0,True,,Medium,1.33,23.9,beast/largemammals folder,False
Hippo,Rare,19,False,sprites/enemy/beast/largemammals/hippo.atlas,32,32,0.6,19.2,True,,Medium,0.75,24.0,beast/largemammals folder,False
Holy Apparition,Mythic,45,False,sprites/enemy/celestial/seraphim.atlas,32,32,0.8,25.6,True,,Medium,0.75,24.0,"scale x0.8 was a choice - nearest step to 25.6px, life 45",True
Holy Paladin,Rare,27,False,sprites/enemy/humanoid/human/knight/paladin_large.atlas,64,64,0.7,44.8,True,,Medium,0.38,24.3,"humanoid/human/knight folder, named large, moves 46%",True
Horse,Uncommon,14,False,sprites/enemy/beast/horse/horseblack.atlas,47,36,0.5,18.0,True,,Medium,0.67,24.1,beast/horse folder,False
Hulking Skaab,Common,15,False,sprites/enemy/undead/ghoullarge.atlas,32,24,1.0,24.0,True,,Medium,1.0,24.0,"undead folder, named large",False
Hydra,Mythic,46,False,sprites/enemy/monstrosity/hydra.atlas,16,16,1.5,24.0,True,,Medium,1.5,24.0,"scale x1.5 was a choice - nearest step to 24.0px, life 46",True
Ilharg,Mythic,42,False,sprites/enemy/beast/smallmammals/boar.atlas,32,21,2.0,42.0,True,,Medium,1.14,23.9,"beast/smallmammals folder, a boar, moves 43%",True
Immerwolf,Common,15,False,sprites/enemy/beast/largemammals/wolf.atlas,40,40,0.5,20.0,True,,Medium,0.6,24.0,beast/largemammals folder,False
Joven,Common,20,True,sprites/enemy/humanoid/human/bandit/bandit.atlas,21,21,1.0,21.0,True,,Medium,1.14,23.9,"humanoid/human/bandit folder, +1 step for boss",True
Kalamax,Rare,20,False,sprites/enemy/beast/dinosaur/dinosaur_stegosaurus.atlas,32,16,1.5,24.0,True,,Medium,1.5,24.0,scale x1.5 was a choice - nearest step to 24.0px,False
Kamiz,Rare,20,False,sprites/enemy/fiend/aerie_guard.atlas,17,21,1.0,21.0,True,,Medium,1.14,23.9,art 21px vs 16px person (x1.31),True
Karn,Rare,30,False,sprites/enemy/construct/golem.atlas,16,16,1.5,24.0,True,,Medium,1.5,24.0,scale x1.5 was a choice - nearest step to 24.0px,False
Krampus,Uncommon,20,False,sprites/enemy/fiend/krampus.atlas,25,23,1.0,23.0,True,,Medium,1.04,23.9,art 23px vs 16px person (x1.44),True
Krampus (Elite),Uncommon,30,False,sprites/enemy/fiend/abyssalbaron.atlas,16,16,1.4,22.4,True,,Medium,1.5,24.0,scale x1.4 was a choice - nearest step to 22.4px,False
Liesa,Uncommon,30,False,sprites/enemy/celestial/fallen_angel.atlas,32,21,1.0,21.0,True,,Medium,1.14,23.9,art 21px vs 16px person (x1.31),True
Lizardfolk Champion,Uncommon,21,False,sprites/enemy/basic/monster/lizardfolk_champion.atlas,49,50,0.45,22.5,True,,Medium,0.48,24.0,scale x0.45 was a choice - nearest step to 22.5px,False
Lizardfolk Guard,Uncommon,22,False,sprites/enemy/basic/monster/lizardfolk_guard.atlas,35,50,0.45,22.5,True,,Medium,0.48,24.0,scale x0.45 was a choice - nearest step to 22.5px,False
Mageripper,Rare,15,False,sprites/enemy/monstrosity/mageripper.atlas,32,32,0.8,25.6,True,,Medium,0.75,24.0,scale x0.8 was a choice - nearest step to 25.6px,False
Marksman of the Deep Wood,Mythic,48,False,sprites/enemy/mythic/deepwood_marksman.atlas,47,54,0.45,24.3,True,,Medium,0.44,23.8,"scale x0.45 was a choice - nearest step to 24.3px, life 48",True
Minotaur Warcaller,Rare,27,False,sprites/enemy/humanoid/minotaur/minotaurlarge.atlas,54,43,0.5,21.5,True,,Medium,0.56,24.1,"humanoid/minotaur folder, named large",False
Mogis,Rare,40,False,sprites/enemy/humanoid/minotaur/minotaurlarge.atlas,54,43,1.0,43.0,True,,Medium,0.56,24.1,"humanoid/minotaur folder, named large, moves 44%",True
Molfar of the High Peaks,Mythic,47,False,sprites/enemy/mythic/molfar.atlas,41,36,0.6,21.599999999999998,True,,Medium,0.67,24.1,"scale x0.6 was a choice - nearest step to 21.6px, life 47",True
Moraug,Uncommon,29,False,sprites/enemy/humanoid/minotaur/amonkhet_minotaur.atlas,16,15,1.0,15.0,True,,Medium,1.6,24.0,"humanoid/minotaur folder, named minotaur, moves 60%",True
